id,t,weighted_ILI,unweighted_ILI,AGE_0_4,AGE_5_24,ILITOTAL,NUM_PROVIDERS,OT
0,1,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0
0,4,1,0,0,0,0,0,0
0,5,1,0,0,0,0,0,0
0,6,1,1,0,0,0,0,0
0,7,1,1,0,0,0,0,0
0,8,1,0,0,0,0,0,0
0,9,1,1,0,0,0,0,0
0,10,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,2,1,1,0,0,0,0,0
1,3,1,0,0,0,0,0,0
1,4,1,1,0,0,0,0,0
1,5,1,0,0,0,0,0,0
1,6,1,0,0,0,0,0,0
1,7,1,1,0,0,0,0,0
1,8,1,1,0,0,0,0,0
1,9,1,1,0,0,0,0,0
1,10,1,1,0,0,0,0,0
2,1,1,0,0,0,0,0,0
2,2,1,1,0,0,0,0,0
2,3,1,1,0,0,0,0,0
2,4,1,1,0,0,0,0,0
2,5,1,1,0,0,0,0,0
2,6,1,1,0,0,0,0,0
2,7,1,1,0,0,0,0,0
2,8,1,1,0,1,0,0,0
2,9,1,1,0,1,0,0,0
2,10,1,1,0,1,0,0,0
3,1,1,1,0,0,0,0,0
3,2,1,1,0,0,0,0,0
3,3,1,1,0,1,0,0,0
3,4,1,1,0,1,0,0,0
3,5,1,1,0,1,0,0,0
3,6,1,1,0,1,0,0,0
3,7,1,1,0,0,0,0,0
3,8,1,1,0,0,0,0,0
3,9,1,1,0,0,0,0,0
3,10,1,1,0,0,0,0,0
4,1,1,1,0,1,0,0,0
4,2,1,1,0,0,0,0,0
4,3,1,1,0,0,0,0,0
4,4,1,1,0,0,0,0,0
4,5,1,1,0,0,0,0,0
4,6,1,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0
4,9,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0
5,7,0,0,0,0,0,0,0
5,8,0,0,0,0,0,0,0
5,9,0,0,0,0,0,0,0
5,10,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0
6,9,0,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0
7,5,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0
7,8,0,0,0,0,0,0,0
7,9,0,0,0,0,0,0,0
7,10,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0
8,5,0,0,0,0,0,0,0
8,6,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0
8,9,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0
9,5,0,0,0,0,0,0,0
9,6,0,0,0,0,0,0,0
9,7,0,0,0,0,0,0,0
